Friction,Roughness,Moisture,Deformation
0.833023941,2.75263,46.66,0.28
0.7682285,3.175029,42.22,0.259
1.289083004,3.243784,44.86,0.363
1.119173375,2.958669,40.7,0.369
0.590533616,2.380351,50.62,0.291
0.682367785,3.175887,52.5,0.331
0.909813647,2.267523,57.76,0.352
0.508854946,2.705025,60.18,0.317
0.689092541,2.664024,54.325,0.29
0.872944884,2.624758,56.1,0.28
0.758477946,2.677925,44.64,0.291
0.556973507,2.544136,52.1,0.309
0.628370227,3.488278,24.88,0.321
0.408876855,3.076533,30.975,0.299
0.25314668,4.171177,26.74,0.306
0.228536909,3.755316,30.9,0.285
1.14609194,2.884624,48.14,0.312
0.707865591,3.160976,40.14,0.337
0.704487434,3.237258,42.18,0.317
0.771591051,2.649651,41.76,0.324
